user_id,messages,actual_volatility,predicted_volatility,prediction_mae,mood_swing_index,risk_flag,trend,recommendation
534,16,0.44015997648239136,0.4041500480047294,0.3466735305264592,0.9789088468736867,High,Improving,Monitor recent conversation context and collect more timely feedback labels.
889,18,0.4269587993621826,0.3396379206743505,0.32116944901645184,0.9069123849334133,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
63,31,0.3813733458518982,0.33223597231236374,0.40659470985765045,0.8335707963673564,High,Improving,Monitor recent conversation context and collect more timely feedback labels.
161,18,0.3435411751270294,0.3548954964822365,0.3953647900139913,0.7961436426972965,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
684,14,0.4024769365787506,0.213970285654068,0.30052748632927734,0.768487232452104,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
590,36,0.3455314636230469,0.25816904077375374,0.2740908943316234,0.7203640219603272,High,Improving,Monitor recent conversation context and collect more timely feedback labels.
542,12,0.34985455870628357,0.2425175110499064,0.29346374422311783,0.7140104295714235,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
568,14,0.2808615267276764,0.35498037189245224,0.26165363068381947,0.7036514352942496,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
253,150,0.3179100453853607,0.2801107732506456,0.31221614183626845,0.6974312927775488,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
696,50,0.3149571120738983,0.2596962476694366,0.3040493105405143,0.6764566666894222,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
239,19,0.2979166507720947,0.28320685029029846,0.30473808402364905,0.670426006844125,High,Improving,Monitor recent conversation context and collect more timely feedback labels.
560,28,0.33978888392448425,0.20124100295728758,0.2903032026719302,0.6655540864946186,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
582,18,0.2948882281780243,0.2101238260252608,0.21497179986909032,0.6064767752026118,High,Improving,Monitor recent conversation context and collect more timely feedback labels.
403,17,0.274275004863739,0.24133033491671085,0.2698861953491966,0.6014332379762555,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
743,46,0.25545331835746765,0.23991026060429174,0.2605881874425043,0.5724828824660156,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
735,13,0.1485833376646042,0.43006601417437196,0.3107479728758335,0.5694183357010798,High,Improving,Monitor recent conversation context and collect more timely feedback labels.
117,62,0.25256067514419556,0.2339083682745695,0.3102255958408393,0.5633267013215738,High,Worsening,Monitor recent conversation context and collect more timely feedback labels.
